1 4	1 Abortus
2 49	2 "Abscessus (Absces)"
3 0	3 "Abscessus cerebri post fracturam cranii"
4 8	4 "Abscessus prostatae"
5 22	5 "Acut gastro-intestinal Catarrh"
6 16	6 "Akut mave-tarm katar (Acut Mave-Tarmcatarrh)"
7 0	7 "Adams-Stokes syndrom"
8 0	8 Adenocarcinoma
9 9	9 Afkræftelse
10 4	10 "Akut Melankoli"
11 0	11 "Akut Sindssyge"
12 151	12 "Alcoholismus (Alkoholisme)"
13 244	13 "Alcoholismus chronicus (Alcoholismus chr., A.c.)"
14 671	14 Alderdom
15 371	15 Alderdomssvaghed
16 118	16 Alderdomssvækkelse
17 11	17 "Almindelig svækkelse (Alm. svækkelse)"
18 2	18 "Almindelig Lamhed (Alm. Lamhed)"
19 65	19 Ambustio
20 4	20 "Ambustiones variae"
21 206	21 "Anaemia (Anæmia, Anæmi)"
22 19	22 "Anaemia gravis"
23 46	23 "Anaemia perniciosa"
24 67	24 "Aneurysma aortæ"
25 40	25 "Angina pectoris"
26 13	26 Ansigtsrosen
27 9	27 "Ante tempus nat. (Ante temp. nat.)"
28 10	28 "Anuria (Anuri)"
29 0	31 "Apoplektisk Tilfælde"
30 0	32 "Apoplexia  (Apopleksi)"
31 4	33 "Apoplexia cerebri (Apop. cerebri)"
32 668	34 Appendicitis
33 809	35 "Appendicitis acuta gangraenosa (App. acuta gang.)"
34 76	36 "Appendicitis gangraenosa"
35 0	37 "Appendicitis m. peritonitis"
36 11	38 "Arrhytmia perpetua"
37 5	39 Arteriosclerosis
38 0	40 "Arteriosclerosis cerebri"
39 533	41 "Arteriosclerosis universalis"
40 14	42 "Arthritis anomala"
41 14	43 Arthrocace
42 3	44 "Arthroitis (Arthritis)"
43 0	45 Ascites
44 29	46 "Asphyxia (Asfyxia)"
45 108	47 "Asthma bronchiale"
46 106	48 "Asthma (Astma)"
47 4	49 Ataxia
48 67	50 "Atelectasis pulmonum (Atelectasis pulm.)"
49 4	51 "Atrophia (Atrofi)"
50 85	52 "Atrophia infantilis (Atrophia infant.)"
51 3581	53 "Barselsfeber (Barselfeber)"
52 504	54 Barselseng
53 233	55 "Betændelse i Galdevejene"
54 12	56 "Betændelse i Hjertet"
55 2	57 "Betændelse i Luftrøret"
56 0	58 Betændelsesfeber
57 0	59 "Blindtarmsbet. med Bughindebet."
58 6	60 Blodbrok
59 0	61 Blodbrækning
60 0	62 Blodforgiftning
61 19	63 Blodgang
62 1	64 Blodopkastning
63 7	65 Blodprop
64 2	66 "Blodprop v. kranspulsåre"
65 16	67 "Blodopspytning (Blodspytning)"
66 0	68 Blodstyrtning
67 11	69 Blærekræft
68 21	70 Blaasot
69 6	71 Brandbyld
70 1	72 "Bristet Mavesæk"
71 10	73 Brok
72 0	74 "Bronchiectasia (Bronkiektasi)"
73 13	75 "Bronchitis capillaris post morbilli"
74 88	76 Bronchitis
75 3	77 "Bronchitis acuta"
76 1947	78 "Bronchitis capillaris (Bronchitis capill., Bronchit. capill.)"
77 45	79 "Bronchitis capillaris dupl."
78 964	80 "Bronchitis catarrhalis"
79 2	81 "Bronchitis chronica (Bronchitis chron.)"
80 11	83 "Bronchopneumonia (Bronchopneum., Bron. pneum.)"
81 543	84 "Bronchopneumonia acuta"
82 0	85 "Bronchopneumonia bilat."
83 1595	86 "Bronchopneumonia disper."
84 8	87 "Bronchopneumonia duplex"
85 0	88 "Bronchopneumonia dext."
86 2	89 "Bronchopneumonia hypostatica"
87 89	90 Brystaffection
88 22	91 "Brystaffection under Tandudbrud"
89 3	92 "Brystaffection Følge af Mæslinger"
90 11	93 Brystbetændelse
91 0	94 "Brystkatar (Brystcatarrh)"
92 0	95 Brystkrampe
93 521	96 Brystkræft
94 157	97 Brystsvaghed
95 2	98 Brystsygdom
96 9	99 Brystsyge
97 11	100 Brysttæring
98 43	101 Brystvattersot
99 374	102 Brændevinssygdom
100 31	103 Bughindebetændelse
101 3	104 Bugvatttersot
102 0	105 Bulbærparalyse
103 16	106 "Byld i Lungen"
104 3	107 "Cancer metastaticus ad cerebrum (C. met. ad cerebrum)"
105 2	108 "Cancer metastaticus ad hepar et lymphonodi (C. metast. ad hepar et lymfonodi)"
106 0	109 "C. renis sin. c. metastatibus ad ossium"
107 0	110 "Cachexia (Kakexia)"
108 0	111 Cancer
109 0	112 "Cancer abdominis (C. abdom.)"
110 80	113 "Cancer coli"
111 326	114 "Cancer colli uteri (C. colli uteri)"
112 235	115 "Cancer corporis uteri"
113 39	116 "Cancer gland. colli"
114 13	117 "Cancer hepatis"
115 3	118 "Cancer intestini (Cancer intestinalis)"
116 3	119 "Cancer laryngis"
117 279	120 "Cancer linguae (C. linguae)"
118 50	121 "Cancer mammae"
119 20	122 "Cancer mammae c. metast."
120 29	123 "Cancer mammae dxt."
121 173	124 "Cancer mammae et abdominis"
122 3	125 "Cancer metastaticus"
123 3	126 "Cancer metastaticus pulm."
124 2	127 "Cancer oesophagi"
125 2	128 "Cancer ovarii"
126 0	129 "Cancer pancreatis (C. pancreatis)"
127 164	130 "Cancer pelvis"
128 17	131 "Cancer pharyngis"
129 38	132 "Cancer prostatae"
130 7	133 "Cancer pulmonis (C. pulm.)"
131 20	134 "Cancer recti"
132 10	135 "Cancer renis"
133 13	136 "Cancer testis"
134 154	137 "Cancer testis cum metastatibus"
135 22	138 "Cancer tonsillae dext."
136 0	139 "Cancer uteri"
137 0	140 "Cancer ventriculi (c. ventr.)"
138 2	141 "Cancer vesicae urinariae"
139 423	142 "Capillær Bronchitis"
140 1077	143 "Carcinoma gl. thyr."
141 8	144 Carcinomatosis
142 39	145 "Carcinomatosis peritonei"
143 0	146 Carcinose
144 2	147 "Carcinosis peritonei"
145 0	148 "Caries ossium"
146 1	149 "Catarrhus intestinalis (Cat. intest.)"
147 1	150 "Catarrhus gastrointestinalis (Catarrh. gastro.)"
148 1	151 "Catarrhus gastrointestinalis acutus  (Cat. gastro intest. acut.)"
149 513	152 "Catarrhus intestinalis acutus (Cat. intest. acut.)"
150 576	153 "Catarrhus intestinalis chronicus"
151 258	154 "Catarrhus vesicae"
152 368	155 "Causa mortis non indicata"
153 67	156 "Cerebral Typhus"
154 3	157 Cholecystitis
155 2	158 Cholelithiasis
156 2	159 "Cholera (Kolera)"
157 17	160 "Cholera asiatica"
158 70	161 "Cholera epidemica"
159 10	162 "Cholera infantum (Cholera infantilis)"
160 1	163 "Cholerine (Kolerine)"
161 0	165 "Kronisk bronkitis"
162 173	166 "Kronisk alkoholisme"
163 948	167 "Kronisk brystbetændelse"
164 0	168 "Kronisk brystsvaghed"
165 30	169 "Chronisk Brystsygdom"
166 20	170 "Chronisk Brystsyge"
167 9	171 "Chronisk Hjernebetændelse"
168 8	172 "Kronisk hjertesygdom"
169 33	173 "Kronisk leverlidelse"
170 14	174 "Chronisk Leversygdom"
171 14	175 "Kronisk nyresygdom"
172 162	176 "Cirrhosis hepatis"
173 2	177 Colitis
174 27	178 "Koma (Coma)"
175 48	179 "Coma diabeticum"
176 256	180 "Coma hepaticum"
177 20	181 "Congestio cerebri"
178 48	182 "Contusio (Contusion, Kontusion)"
179 40	183 "Contusio capitis"
180 0	184 "Contusio cerebri (Contus. cerebri)"
181 3	185 "Convulsiones (Konvulsioner)"
182 11	187 "Coronar thrombose"
183 18	188 Coxitis
184 6	189 Croup
185 793	190 Cyanosis
186 0	191 Cystitis
187 0	192 Cystopyelitis
188 36	193 Debilitas
189 375	194 "Debilitas congenita (Debilitas cong.)"
190 20	195 "Debilitas senilis"
191 210	196 Decubitus
192 40	197 "Degeneratio cordis (Degen. cordis, Deg. cordis)"
193 134	198 "Degeneratio myocardii (Deg. myocardii)"
194 469	199 "Degeneratio myocardii senilis"
195 168	200 Delirium
196 89	201 "Delirium tremens (Delir. tremens, Del. tremens. D. t.)"
197 339	202 "Dementia paralytica"
198 136	203 "Dementia senilis"
199 0	204 "Diabetes mellitus"
200 28	205 "Diarrhé (Diarrhoea, Diarré)"
201 268	206 "Diarrhoea acuta"
202 89	207 "Diathesis haemorrhagica"
203 36	208 "Diphteria (Difteritis)"
204 238	210 "Diphteria laryngis"
205 1227	211 Drab
206 42	212 Drankergalskab
207 3	213 "Drukning  (Druknet)"
208 751	214 Dysenteria
209 0	215 Dyspepsia
210 6	216 "Død straks efter fødslen (Død lige efter fødslen)"
211 1	218 Dødfødt
212 8	219 "Dødsaarsag ukendt"
213 276	220 "Eclampsia (Ecclampsia, Eklampsia)"
214 22	221 "Eclampsia parturientium (Eclampsia in partu)"
215 44	222 "Efter Barnefødsel"
216 23	223 "Embolia (Emboli)"
217 0	224 "Embolia a. axillaris dxt."
218 3291	225 "Embolia arteriae pulmonalis (Embolia art. pulm.)"
219 8	226 "Embolia cerebri"
220 795	227 "Embolia et thrombosis cerebri"
221 10	228 "Embolia pulmonum (Embolia pulm.)"
222 0	229 "Embolia pulm. o.p."
223 203	230 Embolus
224 0	231 "Emollitio cerebri"
225 111	232 "Emphysema pulm. acut."
226 139	233 Empyema
227 1	234 "Empyema pleurae dxt."
228 81	235 Encephalitis
229 0	236 "Encephalitis acuta"
230 2	237 "Encephalitis syphilitica"
231 642	238 Encephalopathia
232 2	239 "Encephalopathia arteriosclerotica"
233 63	240 "Encephalopathia chron."
234 6	241 Endocarditis
235 37	242 "Endocarditis ulcerosa (Endocard. ulc.)"
236 2	243 Enteritis
237 4	244 "Enteritis acuta"
238 216	245 Enterocolitis
239 0	246 Enterophthisis
240 31	247 "Epilepsia (Epilepsi)"
241 73	248 "Epileptisk Anfald"
242 24	249 Erysipelas
243 501	250 "Exanimus natus"
244 104	251 "Exhaustio virium"
245 18	252 Fald
246 4	253 "Faldt om og døde pludselig"
247 109	255 "Feber efter Barselseng"
248 3	256 Febertilfælde
249 201	257 "Febris hectica"
250 8	258 "Febris intermittens"
251 1	259 "Febris nervosa"
252 8	260 "Febris paratyphoidea (Fb. paratyph.)"
253 1	261 "Febris puerperalis"
254 0	262 "Febris rheumatica (Fb. rheumatica)"
255 1	263 "Febris typhoidea (Fb. typhoidea, Febr. typh.)"
256 1	264 "Fibroma uteri"
257 2	265 "Fibrosis myocardii"
258 4	267 "For tidligt født (For tidlig Fødsel)"
259 0	268 Forbrænding
260 1	269 Forgiftning
261 192	270 "Forhærdelse i Underlivet"
262 142	271 Forkølelse
263 442	272 "Formentlig Drukning"
264 26	273 "Formentlig naturlig Død"
265 0	274 "Formentlig Suicidium"
266 0	275 "Formentlig Ulykkestilfælde"
267 756	276 "Fractura baseos cranii (Fractura basis cranii)  "
268 63	277 "Fractura colli femoris"
269 10	278 "Fractura cranii"
270 5	279 "Fractura cranii complicata"
271 0	280 "Funden druknet"
272 22	281 "Fundet død"
273 0	282 Furunculus
274 1	284 "Følger af Benbrud"
275 14	285 "Følger efter Ulykkestilfælde"
276 32	287 Galdefeber
277 70	288 "Gangraena (Gangræn)"
278 107	289 "Gangraena coli ascendentis"
279 3	290 "Gangraena pulmonis (Gangraena pulm.)"
280 2	291 "Gangraena pulmonum"
281 26	292 "Gangraena senilis"
282 2	293 "Gastrisk Feber"
283 0	294 "Gastritis chron."
284 1	295 Gastroenteritis
285 0	296 "Gastroenteritis ac. c. intoxicatione"
286 0	297 "Gastroenteritis acuta"
287 0	298 Gigtfeber
288 81	299 "Graviditas extrauterina rupta"
289 0	300 "Grippe (La grippe)"
290 29	301 "Haematemesis (Hæmatemesis)"
291 22	302 "Haematemesis et melaena"
292 48	303 "Haematoma subdurale"
293 50	304 "Haemorrhagia (Hæmorrhagia)"
294 8	305 "Haemorrhagia cerebri (Hæmorrhagia cerebri)"
295 297	306 Halsbetændelse
296 0	307 Halssyge
297 168	308 "Hastig død"
298 56	309 Hedeslag
299 3	310 Hektik
300 1	311 "Hernia incarcerata (Hernia incar.)"
301 94	312 "Hidsig Feber"
302 1	313 Hjerneapoplexi
303 0	314 "Hjerneblødhed  (Hjerneemollition)"
304 151	315 Hjernebetændelse
305 317	316 Hjerneblødhed
306 16	317 Hjerneblødning
307 6	318 Hjernelidelse
308 14	319 Hjerneødem
309 1	320 Hjerneparalysis
310 7	321 Hjertefejl
311 49	322 Hjerteforkalkning
312 9	323 Hjertehypertrofi
313 96	324 Hjertelidelse
314 5	325 Hjerteparese
315 735	326 Hjertesvækkelse
316 77	327 Hjertesygdom
317 37	328 Homicidium
318 22	329 "Hydrocephalus (Hydrocephali)"
319 0	330 "Hydrocephalus acutus"
320 2	331 "Hydrocephalus m.gr."
321 11	332 "Hydrops ovarii"
322 0	333 Hyperinsulinismus
323 1	334 Hypernephroma
324 0	335 Hyperpyrexia
325 2	336 Hyperthermia
326 10	337 "Hypertrophia (Hypertrofi)"
327 403	338 "Hypertrophia cordis"
328 0	339 "Hypertrophia hepatis"
329 197	340 "Hypertrophia prostatae  (Prostatahypertrofi)"
330 77	341 "Hypertrophia ventr. sin. cordis"
331 0	342 Hæmoptysis
332 5	343 "Hæmoptysis m.gr."
333 0	345 Hængning
334 1	346 "Hængt sig"
335 10	347 Icterus
336 1	348 "Icterus neonatorum"
337 12	349 Ildebefindende
338 16	350 Ileus
339 9	351 "Ileus paralyticus"
340 80	352 "Mors in partu (In partu mortua)"
341 0	353 "Incompensatio cordis (Incomp. cordis)"
342 150	354 "Indbragt død"
343 0	356 "Indeklemt Brok"
344 0	357 "Indvendig Blødning"
345 627	358 "Indvendig Gigt"
346 4	359 "Indvortes krampe (Indv. krampe)"
347 127	360 "Indvortes Kræft (Indv. Kræft)"
348 25	361 "Indvortes svaghed (Indvendig svaghed)"
349 0	362 Inflammationsfeber
350 154	363 Influenza
351 0	364 "Insufficientia cordis"
352 3	366 Kighoste
353 0	367 "Kighoste med Krampe (Kighoste m. Krampeanfald)"
354 55	368 Kirtelsvaghed
355 0	369 "Kirtelsyge (Kirtler, Kiertler)"
356 18	370 Kirteltæring
357 9	371 "Klappefejl i Hjertet"
358 0	372 Knusning
359 10	373 Koldbrand
360 0	374 Koldesyge
361 22	375 Koldfeber
362 1	378 Kopper
363 386	379 Krampe
364 7	380 Krampeslag
365 0	381 Krampetilfælde
366 529	382 "Brud af kraniet (Kraniebrud)"
367 3	383 "Kronisk hjerte- lungesygdom"
368 2	384 Kræft
369 17	385 "Kræft i Brystet"
370 22	386 "Kræft i Endetarmen"
371 3	387 "Kræft i Galdeblæren"
372 8	388 "Kræft i Mavesækken"
373 35	389 "Kræft i Spiserøret"
374 0	390 "Kræft i Svælget"
375 1	391 "Kræft i Underlivet"
376 0	392 "Kulilteforgiftning (kulforgiftning)"
377 0	393 Kvælning
378 32	394 "Laesiones intra partum"
379 1664	395 "Langvarig Krampesygdom"
